metric_name,metric_display,metric_kind,metric_type,metric_ unit,metric_resource,metric_description
gcp.appengine.flex.instance.healthcheck.readiness.request_count,Readiness check,DELTA,INT64,1,gae_instance,"Number of readiness health-check requests for a Flex instance with status and error code. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.gc.count,GC count,DELTA,INT64,1,gae_instance,"The total number of garbage collections that have occurred. Sampled every 60 seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.gc.time,GC Time,DELTA,INT64,ms,gae_instance,"The accumulated garbage collection elapsed time in milliseconds. Sampled every 60 seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.memory.usage,Memory usage,GAUGE,DOUBLE,By,gae_instance,"The memory usage. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.os.cpu_time,CPU time,DELTA,INT64,ns,gae_instance,"The CPU time used by the process on which the Java virtual machine is running. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.thread.num_live,Threads,GAUGE,DOUBLE,1,gae_instance,"The current number of live threads. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.thread.peak,Max threads,GAUGE,DOUBLE,1,gae_instance,"The peak number of live threads. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.jvm.uptime,Uptime,DELTA,INT64,ms,gae_instance,"The uptime of the Java virtual machine. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.log_entry_count,Logging Agent Log Entry Count,DELTA,INT64,1,gae_instance,"Count of log entries written by the Logging agent. Sampled every 60 seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.log_entry_retry_count,Logging Agent Retried Log Entry Writes Count,DELTA,INT64,1,gae_instance,"Count of log-entry writes that were retried by the Logging agent. Sampled every 60 seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.network.received_bytes_count,Network bytes received,DELTA,INT64,By,gae_instance,"Delta count of incoming network bytes in an App Engine flexible instance. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.network.sent_bytes_count,Network bytes sent,DELTA,INT64,By,gae_instance,"Delta count of outgoing network bytes in an App Engine flexible instance. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.nginx.connections.accepted_count,Accepted connections,DELTA,INT64,1,gae_instance,"Total connections accepted. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.nginx.connections.current,Active connections,GAUGE,DOUBLE,1,gae_instance,"The number of connections currently attached to Nginx. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.nginx.connections.handled_count,Handled connections,DELTA,INT64,1,gae_instance,"Total connections handled. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.uptime,Uptime,GAUGE,DOUBLE,s,gae_instance,"How long the VM has been running, in seconds. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.instance.ws.avg_duration,Websocket average duration,GAUGE,DOUBLE,s,gae_instance,"Average of websocket requests for a given App Engine Flexible instance. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.network.received_bytes_count,Network bytes received.,DELTA,INT64,By,gae_app,"Delta count of incoming network bytes across all VMs in an App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.flex.network.sent_bytes_count,Network bytes sent.,DELTA,INT64,By,gae_app,"Delta count of outgoing network bytes across all VMs in an App Engine flexible environment version. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.http.server.dos_intercept_count,Interception count,DELTA,INT64,1,gae_app,"Delta count of interceptions performed to prevent DoS attacks. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.http.server.quota_denial_count,Quota denial count,DELTA,INT64,1,gae_app,"Delta count of requests that failed due to the app being over quota. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.http.server.response_count,Response count,DELTA,INT64,1,gae_app,"Delta HTTP response count. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.http.server.response_latencies,Response latency,DELTA,DISTRIBUTION,ms,gae_app,"HTTP response latency. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.http.server.response_style_count,Response count by style,DELTA,INT64,1,gae_app,"Delta counts on the HTTP serve style. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.memcache.centi_mcu_count,Memcache utilization,DELTA,INT64,1,gae_app,"Memcache utilization in one hundredth of Memcache Compute Unit grouped by command. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.memcache.hit_ratio,Hit ratio,GAUGE,DOUBLE,1,gae_app,"Percentage of successful hits compared to all memcache operations. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.memcache.operation_count,Memcache operations,DELTA,INT64,1,gae_app,"Count of memcache key operations, grouped by command and status. Sampled every 60 seconds. After sampling, data is not visible for up to 180 seconds."
gcp.appengine.memcache.received_bytes_count,Memcache received bytes,DELTA,INT64,By,gae_app,"Number of bytes received by app from the memcache API, grouped by status and memcache command. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.memcache.sent_bytes_count,Memcache sent bytes,DELTA,INT64,By,gae_app,"Number of bytes sent by app through the memcache API, grouped by memcache command. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.memcache.used_cache_size,Used Cache Size,GAUGE,INT64,By,gae_app,"Size of the cache, calculated as the total size of all items stored. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.billed_instance_estimate_count,Estimated instance count,GAUGE,INT64,1,gae_app,"Estimate of the number of instances that the customer is charged for. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.cpu.usage,CPU megacycles,GAUGE,INT64,1,gae_app,"CPU usage in megacycles over all instances. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.cpu.utilization,CPU utilization,GAUGE,DOUBLE,10^2.%,gae_app,"CPU utilization average over all active instances. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.instance_count,Instance count,GAUGE,INT64,1,gae_app,"Number of instances that exist. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.memory.usage,Memory usage,GAUGE,INT64,By,gae_app,"Total memory used by running instances. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.network.received_bytes_count,Received bytes,DELTA,INT64,By,gae_app,"Delta count of incoming network bandwidth. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
gcp.appengine.system.network.sent_bytes_count,Sent bytes,DELTA,INT64,By,gae_app,"Delta count of outgoing network bandwidth. Sampled every 60 seconds. After sampling, data is not visible for up to 240 seconds."
